m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1
30,15,33.0798065634115,3756,629,6.67572021484375e-05,33.58612403161359,4138,772,1.8956658840179443,11901,1,1,True,True,True
30,16,33.36256174622646,3982,656,6.341934204101562e-05,33.72256459478837,4249,773,0.5520148277282715,3923,1,1,True,True,True
30,17,33.525409642782506,4107,649,0.0001068115234375,33.7324994316806,4276,753,1.1457116603851318,7752,1,1,True,True,True
30,18,33.21662952847649,3865,589,6.437301635742188e-05,33.609099874245295,4158,754,0.4986560344696045,3587,1,1,True,True,True
30,19,33.36637090178806,4004,601,6.914138793945312e-05,33.65585346323393,4215,740,0.9759118556976318,6854,1,1,True,True,True
30,20,33.342534324657855,3948,703,6.914138793945312e-05,33.66263878003028,4213,766,5.4928059577941895,30731,1,1,True,True,True
30,21,33.22716143120532,3869,649,6.413459777832031e-05,33.520721015688025,4082,739,2.5292322635650635,17872,1,1,True,True,True
30,22,33.35181276995489,3953,726,7.009506225585938e-05,33.80749622496766,4321,793,0.5591936111450195,4173,1,1,True,True,True
30,23,33.163037237077006,3874,582,6.461143493652344e-05,33.613188065816324,4162,726,0.7044947147369385,5381,1,1,True,True,True
30,24,33.20890252705057,3861,611,6.985664367675781e-05,33.687237345742346,4222,766,0.3293893337249756,2469,1,1,True,True,True
30,25,33.38078976725298,4084,609,6.461143493652344e-05,33.70262823592604,4233,808,1.4130353927612305,10060,1,1,True,True,True
30,26,33.39440970836765,4040,644,6.508827209472656e-05,33.39440970836765,4040,644,15.227622509002686,81005,0,0,False,False,True
30,27,33.58271528725461,4171,641,0.00010418891906738281,33.764709646852594,4289,788,2.134237766265869,15868,1,1,True,True,True
30,28,33.4195421176763,4030,614,6.341934204101562e-05,33.688647646684174,4226,756,0.7724545001983643,5878,1,1,True,True,True
30,29,33.36450531284964,3988,619,6.890296936035156e-05,33.71958299396648,4253,733,0.3664424419403076,2709,1,1,True,True,True
30,30,33.48155717377156,4055,741,6.270408630371094e-05,33.736211874854554,4267,746,2.876286029815674,19997,1,1,True,True,True
30,31,33.19645851598968,3881,561,6.508827209472656e-05,33.64177358635475,4193,716,3.579092502593994,25166,1,1,True,True,True
30,32,33.09383523270109,3769,648,6.842613220214844e-05,33.46064011097285,4033,752,0.5639529228210449,4162,1,1,True,True,True
30,33,33.40281008131261,4018,660,0.0001068115234375,33.6686984722904,4197,818,0.1488790512084961,1129,1,1,True,True,True
30,34,33.1222804960926,3806,618,6.389617919921875e-05,33.55699177173258,4108,769,0.8667001724243164,6279,1,1,True,True,True
30,35,33.2988388318682,3914,670,6.461143493652344e-05,33.583350561876294,4129,778,1.4675207138061523,10220,1,1,True,True,True
30,36,33.347414161917435,3996,613,6.413459777832031e-05,33.580949548947956,4128,780,0.9129257202148438,6175,1,1,True,True,True
30,37,33.172453741991994,3827,644,6.437301635742188e-05,33.7189251775144,4246,795,0.5481231212615967,3610,1,1,True,True,True
30,38,33.621462937648765,4233,561,0.00013136863708496094,33.84508444585897,4375,791,3.3032970428466797,21584,1,1,True,True,True
30,39,33.41988874190558,4027,625,6.985664367675781e-05,33.70536263204546,4231,796,2.3718314170837402,16385,1,1,True,True,True
30,40,33.135568349154795,3813,603,6.723403930664062e-05,33.510595636816554,4078,737,5.881937503814697,39617,1,1,True,True,True
30,41,33.471694650518046,4060,653,7.05718994140625e-05,33.67414271031381,4211,758,0.10393977165222168,664,1,1,True,True,True
30,42,33.380474510494075,4000,629,6.461143493652344e-05,33.79890493089231,4317,785,0.8779685497283936,6036,1,1,True,True,True
30,43,33.21602307648941,3880,611,6.890296936035156e-05,33.580741195233095,4129,770,0.10783195495605469,826,1,1,True,True,True
30,44,33.407873146374115,4014,659,6.890296936035156e-05,33.407873146374115,4014,659,15.000268697738647,79860,0,0,False,False,True
30,45,33.13491016044113,3805,603,6.318092346191406e-05,33.5747631553525,4120,792,0.5455820560455322,3997,1,1,True,True,True
30,46,33.632227004101736,4199,650,6.270408630371094e-05,33.7417038817693,4259,836,0.24628257751464844,1771,1,1,True,True,True
30,47,33.54859171427946,4137,648,6.246566772460938e-05,33.702876796791635,4231,763,0.11690688133239746,879,1,1,True,True,True
30,48,33.04343272057326,3761,599,6.198883056640625e-05,33.643293724682906,4183,764,0.37090396881103516,2758,1,1,True,True,True
30,49,33.474335145132756,4067,654,6.651878356933594e-05,33.677399869380174,4222,792,0.5562286376953125,4128,1,1,True,True,True
40,0,34.93174424908341,5485,874,8.940696716308594e-05,34.93174424908341,5485,874,15.000139474868774,92640,0,0,False,False,True
40,1,35.090482137418405,5607,1019,8.988380432128906e-05,35.33010854791635,5864,1039,0.23732447624206543,1688,1,1,True,True,True
40,2,35.03763819074887,5549,1030,9.012222290039062e-05,35.03763819074887,5549,1030,15.000050783157349,93293,0,0,False,False,True
